City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Les Cayes,48,HT,1585624543,74,18.2,-73.75,25.6,2.73
Gushikawa,75,JP,1585624544,94,26.35,127.87,23,5.1
Faya,0,SA,1585624427,50,18.39,42.45,17,0.95
Poso,73,ID,1585624544,60,-1.4,120.75,30.74,1.61
Zhangaözen,69,KZ,1585624544,75,43.3,52.8,9.29,2.66
Port Elizabeth,22,ZA,1585624359,93,-33.92,25.57,17,5.7
Binay,32,PH,1585624545,44,13.5,122.6,33.38,0.82
Kaitangata,7,NZ,1585624545,88,-46.28,169.85,13.89,0.45
Cherskiy,100,RU,1585624404,91,68.75,161.3,-15.14,6.99
Nanortalik,67,GL,1585624418,96,60.14,-45.24,-0.11,6.08
Abalak,100,RU,1585624546,95,58.13,68.59,2.49,3.29
Saint-Augustin,100,CA,1585624467,91,51.23,-58.65,-4.6,6.1
Ribeira Grande,54,PT,1585624402,76,38.52,-28.7,14.91,9.68
Upernavik,100,GL,1585624413,96,72.79,-56.15,-8.62,5.47
Kānt,0,IN,1585624547,28,27.8,79.8,25.37,3.9
Khatanga,100,RU,1585624395,91,71.97,102.5,-18.76,4.79
Waipawa,20,NZ,1585624396,87,-41.41,175.52,17.22,6.2
Abu Dhabi,0,AE,1585624168,77,24.47,54.37,22.22,2.6
Bluff,1,NZ,1585624443,61,-46.6,168.33,19.44,1.34
Lewiston,90,US,1585624442,95,44.1,-70.21,1.67,3.6
Itarema,100,BR,1585624424,91,-2.92,-39.92,24.88,2.99
Pachino,1,IT,1585624548,100,36.72,15.09,7.78,1.5
East London,93,ZA,1585624467,93,-33.02,27.91,19,3.6
Hamilton,1,US,1585624296,70,39.18,-84.53,9,2.1
De-Kastri,100,RU,1585624549,77,51.47,140.78,3.3,2.63
College,1,US,1585624549,32,64.86,-147.8,-2.78,4.1
Los Llanos de Aridane,75,ES,1585624393,77,28.66,-17.92,19,3.1
Awjilah,0,LY,1585624549,72,29.11,21.29,14.25,6.65
Norman Wells,20,CA,1585624383,45,65.28,-126.83,-15,2.1
Leningradskiy,65,RU,1585624414,91,69.38,178.42,-7.01,3.12
Rio Grande,17,BR,1585624346,89,-32.03,-52.1,21.99,1.99
Qaanaaq,82,GL,1585624387,68,77.48,-69.36,-19.46,1.83
Bubaque,46,GW,1585624456,68,11.28,-15.83,26.28,4.02
George Town,20,MY,1585624176,66,5.41,100.34,32,2.6
Bethel,90,US,1585624432,81,41.37,-73.41,8,4.6
Rawson,0,AR,1585624410,65,-43.3,-65.1,15.21,5.52
Kumul,0,CN,1585624551,27,42.8,93.45,9.11,5.25
Mar del Plata,90,AR,1585624446,82,-38,-57.56,17.78,7.7
Umm Kaddadah,16,SD,1585624406,15,13.6,26.69,23.42,4.36
Tura,0,IN,1585624551,17,25.52,90.22,28.95,1.87
Port-Gentil,74,GA,1585624552,78,-0.72,8.78,27.92,1.76
Nishihara,75,JP,1585624552,83,26.18,127.76,23,4.1
Alcañiz,100,ES,1585624552,92,41.05,-0.13,4.44,0.45
Saint Paul Harbor,1,US,1585624446,32,57.79,-152.41,3,5.1
Carnarvon,69,AU,1585624385,38,-24.87,113.63,25,10.8
Tessalit,36,ML,1585624553,16,20.2,1.01,21.68,3.24
Paita,78,PE,1585624553,69,-5.09,-81.11,24.53,2.23
Kingaroy,75,AU,1585624553,51,-26.53,151.83,30.56,3.6
Severo-Kuril'sk,20,RU,1585624553,92,50.68,156.12,0.68,4.29
Realeza,0,BR,1585624554,74,-25.77,-53.53,20.37,1.21
Salinópolis,97,BR,1585624554,83,-0.61,-47.36,27.16,2.96
Nelson Bay,40,AU,1585624554,57,-32.72,152.15,30,4.6
Gillette,1,US,1585624300,38,44.29,-105.5,8.33,2.1
Westport,90,US,1585624492,70,41.14,-73.36,8,2.6
Chodavaram,20,IN,1585624555,74,17.83,82.95,28,1.5
Mareeba,75,AU,1585624555,70,-17,145.43,30,5.7
Cabo San Lucas,40,MX,1585624473,26,22.89,-109.91,22.78,1.5
Aksu,99,CN,1585624556,32,41.12,80.26,10.18,6.39
Primorka,92,RU,1585624556,87,47.28,39.06,9.44,5.81
São Félix do Xingu,100,BR,1585624479,89,-6.64,-51.99,22.88,0.98
Kroya,75,ID,1585624556,67,-7.63,109.25,30.69,0.38
Mulegé,82,MX,1585624557,37,26.88,-111.98,20.62,5.12
Ahipara,13,NZ,1585624557,70,-35.17,173.17,19.98,4.31
Nikolskoye,3,RU,1585624384,73,59.7,30.79,-4.44,2
Dubno,36,UA,1585624558,80,50.42,25.73,-2.44,4.04
Coacoyul,0,MX,1585624558,32,17.81,-99.11,30,2.9
Goderich,100,CA,1585624481,86,43.75,-81.72,3.89,4.99
Port Lincoln,33,AU,1585624472,57,-34.73,135.87,19.39,2.01
Ambon City,40,ID,1585624558,62,-3.7,128.18,32,2.1
Jiuquan,98,CN,1585624558,31,39.74,98.52,3.78,4.17
Codrington,20,AU,1585624431,60,-38.27,141.97,19.17,4.05
Altay,0,CN,1585624559,50,47.87,88.12,0.8,1.99
Khovd,0,MN,1585624427,41,48.01,91.64,-2.66,0.57
Virginia Beach,75,US,1585624291,48,36.85,-75.98,19,7.2
Chokurdakh,100,RU,1585624447,91,70.63,147.92,-18.57,5.42
Lavrentiya,100,RU,1585624560,96,65.58,-171,-7.2,7.8
Saint-Philippe,20,RE,1585624341,78,-21.36,55.77,25,3.6
Dunedin,26,NZ,1585624496,87,-45.87,170.5,13.89,0.45
Kayerkan,71,RU,1585624560,76,69.35,87.76,-20,3
Beyneu,100,KZ,1585624561,83,45.32,55.2,9.01,3.11
Aborlan,20,PH,1585624561,62,9.44,118.55,32,5.1
Viedma,0,AR,1585624466,63,-40.81,-63,14.18,3.33
Sīrjān,0,IR,1585624509,35,29.45,55.68,9.82,2.72
Labytnangi,7,RU,1585624562,93,66.66,66.42,-10.69,4.69
Makakilo City,75,US,1585624562,61,21.35,-158.09,26,2.1
San Quintín,100,MX,1585624562,77,30.48,-115.95,15.78,6.33
Padang,15,ID,1585624311,55,-0.95,100.35,31.55,0.95
Soe,73,ID,1585624562,54,-9.86,124.28,26.08,1.47
Santa Maria,28,BR,1585624543,94,-29.68,-53.81,23,1
Yuli,53,NG,1585624563,24,9.7,10.27,28.73,1.08
Myski,0,RU,1585624563,68,53.71,87.8,2.76,0.89
Wanning,30,CN,1585624563,72,18.8,110.4,28.59,4.53
Tromsø,90,NO,1585624564,86,69.65,18.96,-2,10.3
Champerico,10,GT,1585624564,69,14.3,-91.92,27.42,1.17
Jamestown,90,US,1585624340,100,42.1,-79.24,5,4.6
Bystryy Istok,2,RU,1585624564,80,52.37,84.39,0.98,0.98
Harrogate,49,GB,1585624565,100,53.99,-1.54,5,2.6
Vanimo,19,PG,1585624409,73,-2.67,141.3,28.89,3.89
Baruun-Urt,0,MN,1585624565,43,46.68,113.28,0.14,5.26
Skibbereen,1,IE,1585624565,75,51.55,-9.27,5,6.7
Labuhan,40,ID,1585624460,66,-6.88,112.21,30.45,2.17
Charleston,100,US,1585624381,77,32.78,-79.93,21.11,2.11
Cayenne,80,GF,1585624437,94,4.93,-52.33,25,1
Sabang,66,ID,1585624566,72,5.89,95.32,29.01,5.03
Shitanjing,100,CN,1585624566,15,39.23,106.34,9.44,1.34
Touros,75,BR,1585624436,94,-5.2,-35.46,25,1.5
Malakanagiri,10,IN,1585624567,32,18.35,81.9,33.82,0.47
Esperance,0,AU,1585624263,46,-33.87,121.9,22,2.1
Ninghai,75,CN,1585624567,93,29.29,121.42,14.44,1
Half Moon Bay,1,US,1585624567,76,37.46,-122.43,14.44,2.73
Makkah al Mukarramah,0,SA,1585624477,43,21.43,39.83,21.26,0.79
Eganville,90,CA,1585624568,100,45.53,-77.1,3.89,2.27
Along,13,IN,1585624568,36,28.17,94.77,26.37,0.26
Yining,100,CN,1585624568,83,29.04,114.56,9.41,0.24
Murmansk Oblast,1,RU,1585624569,91,68,34,-12.72,1.97
Qasigiannguit,100,GL,1585624395,73,68.82,-51.19,-4,11.3
Price,1,US,1585624569,41,39.6,-110.81,6.11,2.6
Atambua,100,ID,1585624570,61,-9.11,124.89,27.94,1.17
Dwārka,58,IN,1585624470,73,22.24,68.97,24.43,4
Magadan,91,RU,1585624406,93,59.57,150.8,-7,5.03
Ati,70,TD,1585624570,16,13.22,18.34,27.65,2.37
Umluj,37,SA,1585624403,32,25.02,37.27,23.6,3.03
Talnakh,93,RU,1585624385,76,69.49,88.4,-20,3
Vilhena,75,BR,1585624571,82,-12.74,-60.15,21.01,0.51
Lichinga,0,MZ,1585624571,70,-13.31,35.24,12.51,1.01
Fort Nelson,90,CA,1585624571,84,58.81,-122.7,-14,1.5
Steenwijk,0,NL,1585624572,86,52.79,6.12,1.67,1.5
San Patricio,5,MX,1585624410,69,19.22,-104.7,28,2.65
Isangel,95,VU,1585624572,82,-19.55,169.27,25.83,10.28
Kahului,40,US,1585624188,61,20.89,-156.47,26,8.7
Lata,75,PT,1585624572,81,40.16,-8.33,7.22,3.6
Kabalo,10,CD,1585624440,82,-6.05,26.92,19.9,1.67
Dingle,16,PH,1585624365,53,11,122.67,30.47,5.77
Sabanalarga,11,CO,1585624573,78,10.63,-74.92,27,7.2
Srednekolymsk,100,RU,1585624573,91,67.45,153.68,-12.57,5.97
São Filipe,100,CV,1585624448,81,14.9,-24.5,22.81,1.36
Nhulunbuy,75,AU,1585624574,74,-12.23,136.77,30,5.1
Oussouye,96,SN,1585624574,60,12.48,-16.55,23.43,5.2
Kruisfontein,1,ZA,1585624574,87,-34,24.73,15.27,3.01
Narsaq,86,GL,1585624434,90,60.92,-46.05,0,1.5
Sokoni,20,TZ,1585624574,88,-6.43,39.55,27,5.09
Rocha,100,UY,1585624422,86,-34.48,-54.33,20.16,3.96
Iquitos,97,PE,1585624575,94,-3.75,-73.25,25,0.5
Morwell,6,AU,1585624529,52,-38.23,146.4,25,1.79
Alvorada,100,BR,1585624575,83,-12.48,-49.12,23.35,1.13
North Platte,90,US,1585624575,66,41.12,-100.77,10,4.1
Mwinilunga,100,ZM,1585624576,66,-11.74,24.43,17.52,0.63
Trairi,100,BR,1585624576,86,-3.28,-39.27,25.98,3.16
Werda,100,BW,1585624576,57,-25.27,23.28,19.12,4.68
Castro,0,BR,1585624432,71,-24.79,-50.01,16.6,1.52
Matanzas,5,CU,1585624577,83,23.04,-81.58,25,2.6
Shanghai,75,CN,1585624412,63,31.22,121.46,16,4
Huarmey,100,PE,1585624451,74,-10.07,-78.15,23.54,1.8
Saposoa,94,PE,1585624577,77,-6.93,-76.77,22.59,0.86
Heide,0,DE,1585624578,74,54.2,9.1,-0.56,2.1
Santiago de Cao,100,PE,1585624578,75,-7.96,-79.24,23.88,2.68
Tuensang,0,IN,1585624578,20,26.28,94.83,25.98,1.1
Isla Vista,1,US,1585624578,93,34.41,-119.86,15,3.32
Emba,100,KZ,1585624579,66,48.83,58.14,3.56,6.22
Nador,99,MA,1585624579,59,35.17,-2.93,16,3.6
Kavieng,57,PG,1585624579,69,-2.57,150.8,28.79,1.07
Barra do Garças,98,BR,1585624579,79,-15.89,-52.26,23.11,0.69
Ust-Tsilma,19,RU,1585624580,95,65.44,52.15,-10.33,3.06
Deputatsky,97,RU,1585624434,85,69.3,139.9,-15.59,1.99
Pisco,90,PE,1585624401,83,-13.7,-76.22,22,4.1
San Ignacio,1,BZ,1585624581,86,17.16,-89.07,25,1.34
Taoudenni,12,ML,1585624411,21,22.68,-3.98,20.73,2.25
Cap Malheureux,75,MU,1585624447,100,-19.98,57.61,25,2.1
General Roca,34,AR,1585624582,48,-39.03,-67.58,18,3.1
Sinnamary,83,GF,1585624492,84,5.38,-52.95,25.88,4.74
Saskylakh,94,RU,1585624434,89,71.92,114.08,-17.29,0.84
Sterling,20,US,1585624473,43,39.01,-77.43,14,6.7
Namanyere,86,TZ,1585624583,60,-7.52,31.05,16,1.47
Petrovskoye,100,RU,1585624583,92,57.01,39.27,-4.59,6.45
Buala,63,SB,1585624583,68,-8.14,159.59,30.17,3.82
Candolim,97,IN,1585624583,64,15.52,73.76,28.42,1.52
Big Rapids,90,US,1585624353,80,43.7,-85.48,3,3.29
Dores do Indaiá,100,BR,1585624584,73,-19.46,-45.6,20.91,0.42
Bundaberg,75,AU,1585624405,51,-24.85,152.35,29.44,3.1
Sitka,75,US,1585624584,37,57.05,-135.33,1,7.2
Obo,84,CF,1585624585,60,5.4,26.49,22.1,1.77
Hong Kong,40,HK,1585624306,94,22.29,114.16,22.22,3.6
Kungurtug,0,RU,1585624585,59,50.6,97.52,-3.86,0.26
Ust-Nera,99,RU,1585624453,80,64.57,143.2,-13.97,3.02
Saint-François,0,FR,1585624429,58,46.42,3.91,-1,1
Boguchany,100,RU,1585624586,87,58.38,97.45,2.14,6.06
Chapais,90,CA,1585624586,86,49.78,-74.85,-1,4.6
Sur,0,OM,1585624476,72,22.57,59.53,25.47,2.86
Cedar City,1,US,1585624322,56,37.68,-113.06,7,3.1
Uyuni,94,BO,1585624586,20,-20.46,-66.83,13.7,3.36
Kachug,99,RU,1585624587,69,53.96,105.88,1.45,5.49
Beringovskiy,32,RU,1585624406,91,63.05,179.32,-3.46,4.46
Nishifukuma,75,JP,1585624587,67,33.77,130.47,17,3.6
Asău,90,RO,1585624427,50,46.43,26.4,1.11,6.2
Fushun,72,CN,1585624587,36,41.86,123.92,14,8
Penzance,0,GB,1585624588,80,50.12,-5.54,8.33,8.2
Ngama,83,TD,1585624588,18,11.78,17.17,28.12,2.89
Noumea,31,NC,1585624015,51,-22.28,166.46,28,9.3
Snåase,100,NO,1585624588,84,64.25,12.38,3.35,12.58
Mirny,75,RU,1585624461,79,62.54,113.96,-3,6
Kemijärvi,100,FI,1585624589,91,66.71,27.43,-8.66,4.64
Souillac,75,MU,1585624410,100,-20.52,57.52,25,2.1
Shipunovo,0,RU,1585624590,92,52.16,82.22,-2.01,0.77
Chiang Khong,0,TH,1585624590,57,20.26,100.4,30,1.5
Alofi,75,NU,1585624400,79,-19.06,-169.92,30,3.6
Tuatapere,46,NZ,1585624460,61,-46.13,167.68,19.44,1.34
Chara,97,RU,1585624591,74,56.91,118.26,-2.63,3.7
Liverpool,1,GB,1585624489,80,53.41,-2.98,5.56,2.6
Christchurch,1,NZ,1585623972,68,-43.53,172.63,18,6.2
Karratha,0,AU,1585624591,27,-20.74,116.85,35.43,0.72
Abhā,0,SA,1585624592,50,18.22,42.51,17,0.9
Tezu,0,IN,1585624592,22,27.92,96.17,29.58,1.36
North Battleford,75,CA,1585624592,78,52.78,-108.28,-7.22,3.6
Berck,20,FR,1585624592,80,50.4,1.6,5,4.1
Khoy,35,IR,1585624593,44,38.55,44.95,5.25,1.62
Kautokeino,100,NO,1585624593,92,69.01,23.04,-8.91,10.93
Savannah Bight,0,HN,1585624429,79,16.45,-85.85,27.21,10.98
Xingyi,0,CN,1585624593,9,24.19,102.82,25.33,3.52
Ngunguru,9,NZ,1585624593,73,-35.62,174.5,22.78,2.68
Cape Canaveral,1,US,1585624503,78,28.41,-80.6,26,5.7
Helena,1,US,1585624321,39,46.59,-112.04,10,7.7
Natá,1,PA,1585624594,38,8.33,-80.52,25,1.79
Vawkavysk,1,BY,1585624594,82,53.16,24.45,-2.19,1.17
Saint-Paul,2,RE,1585624594,94,-21.01,55.27,25,3.1
Mayumba,96,GA,1585624595,88,-3.43,10.66,26.24,1.4
Marawi,83,PH,1585624595,49,8,124.29,28.08,2.74
Issenye,72,TZ,1585624595,65,-2,34.33,16.96,1.9
San Cristobal,98,VE,1585624436,54,7.77,-72.22,21.5,0.15
Antsohihy,52,MG,1585624596,95,-14.88,47.99,23.63,0.41
Tonota,2,BW,1585624596,50,-21.48,27.48,16.47,2.81
Ixtapa,5,MX,1585624596,83,20.7,-105.2,24,1.45
Piaçabuçu,29,BR,1585624457,87,-10.41,-36.43,25.91,3.28
Batagay,93,RU,1585624596,88,67.63,134.63,-11.25,1.38
Fortuna,75,US,1585624428,93,40.6,-124.16,12,2.4
Punta Alta,35,AR,1585624597,81,-38.88,-62.07,14.02,6.34
Pemangkat,32,ID,1585624597,68,1.17,108.97,28.78,1.58
Mucurapo,20,TT,1585624597,73,10.67,-61.53,25,3.1
Mitsamiouli,6,KM,1585624598,72,-11.38,43.28,28.57,3.77
Port Macquarie,0,AU,1585624598,57,-31.43,152.92,30,2.1
Malibu,1,US,1585624598,51,34.01,-118.81,17.22,1.81
Caravelas,1,BR,1585624425,86,-17.71,-39.25,25.46,3
Damietta,36,EG,1585624598,50,31.42,31.81,19.04,5.93
Yangi Marg`ilon,100,UZ,1585624410,54,40.43,71.72,13,2.1
Polovinnoye,65,RU,1585624599,92,54.79,65.99,-4.35,3.85
Keighley,58,GB,1585624599,100,53.87,-1.91,5.56,2.6
Tiksi,20,RU,1585624417,86,71.69,128.87,-20.34,1.57
Nuuk,79,GL,1585624599,86,64.18,-51.72,-3,8.7
Churapcha,100,RU,1585624600,94,62,132.43,-3.76,4.11
Letnyaya Stavka,99,RU,1585624600,83,45.43,43.45,9.16,6.5
Ilulissat,100,GL,1585624428,73,69.22,-51.1,-4,11.3
Margate,20,GB,1585624600,93,51.38,1.39,6.67,4.1
Russell,1,US,1585624454,72,32.35,-85.2,19,2.37
Mount Isa,0,AU,1585624482,26,-20.73,139.5,35,6.2
Ust-Kuyga,98,RU,1585624601,90,70.02,135.6,-12.96,1.68
Elko,90,US,1585624458,49,41,-115.5,8.89,2.1
Palu,60,ID,1585624601,48,-0.89,119.87,32.75,1.85
Da Lat,3,VN,1585624408,21,11.95,108.44,27.71,1.76
Santa Cruz de la Sierra,75,BO,1585624372,88,-17.8,-63.17,26,1.5
Tazovsky,96,RU,1585624602,95,67.47,78.7,-12.25,3.64
Newport,90,GB,1585624602,86,51.59,-3,6.11,3.6
Ndungu,98,TZ,1585624602,75,-4.37,38.05,22.41,0.67
Antalaha,16,MG,1585624603,85,-14.9,50.28,25.36,2.1
Kargil,100,IN,1585624480,28,34.57,76.1,-5.22,1.29
Kasane,0,BW,1585624603,68,-17.82,25.15,17.73,1.81
Tignère,80,CM,1585624603,44,7.37,12.65,22.2,1.89
Guerrero Negro,100,MX,1585624452,51,27.98,-114.06,19.64,7.19
Bemidji,1,US,1585624604,32,47.47,-94.88,6,2.1
Moose Factory,1,CA,1585624604,85,51.26,-80.61,-7,4.1
Vilkaviškis,73,LT,1585624604,93,54.65,23.03,-2.19,2.27
Podgornoye,41,RU,1585624604,80,51.73,39.15,-1,4
Vaitape,32,PF,1585624605,77,-16.52,-151.75,28.74,6.22
Wattegama,28,LK,1585624605,94,6.8,81.48,27,1.5
Taltal,55,CL,1585624386,69,-25.4,-70.48,18.87,0.42
Grindavik,90,IS,1585624605,93,63.84,-22.43,6,11.3
Quatre Cocos,75,MU,1585624605,100,-20.21,57.76,25,2.1
Bondoukou,97,CI,1585624606,79,8.03,-2.8,24.51,2.3
Bathsheba,40,BB,1585624444,65,13.22,-59.52,26,7.2
Kiunga,89,PG,1585624606,56,-6.12,141.29,32.97,1.82
Rawa Mazowiecka,22,PL,1585624606,86,51.76,20.25,-1.67,1.5
Pangody,0,RU,1585624606,94,65.85,74.49,-12.5,4.64
Xining,54,CN,1585624443,25,36.62,101.77,4.86,1.3
Benito Juarez,5,MX,1585624314,33,19.39,-99.17,22,3.6
Santo Tomas,20,PH,1585624607,52,14.11,121.14,33.33,3.1
Sabha,0,LY,1585624365,29,27.04,14.43,15.7,4.69
Nouakchott,18,MR,1585624501,64,18.09,-15.98,22,3.6
Montclair,90,US,1585624608,87,40.83,-74.21,8,2.07
Excelsior Springs,1,US,1585624608,38,39.34,-94.23,15.56,3.78
Dryden,75,CA,1585624608,23,49.78,-92.75,5,2.6
Alta Floresta,100,BR,1585624609,87,-9.88,-56.09,22.98,1.46
Alyangula,100,AU,1585624609,59,-13.85,136.42,33,4.6
Jérémie,18,HT,1585624609,79,18.65,-74.12,24.72,0.78
Fayaoué,64,NC,1585624609,76,-20.65,166.53,24.88,10.09
Sisimiut,85,GL,1585624610,92,66.94,-53.67,-7.01,9.51
Longyan,97,CN,1585624442,99,25.11,117.02,19.44,1.65
Namatanai,43,PG,1585624544,71,-3.67,152.43,29.09,4.07
Oktyabr'skiy,100,RU,1585624478,85,54.48,53.47,0.83,3.03
Batagay-Alyta,31,RU,1585624429,77,67.8,130.41,-14.68,0.49
Sabirabad,75,AZ,1585624610,81,40.01,48.48,10,2.37
Shache,80,CN,1585624611,25,38.42,77.24,11.8,4.36
Wewak,100,PG,1585624611,73,-3.55,143.63,28.01,2.2
Moses Lake,1,US,1585624611,34,47.13,-119.28,9,3.1
Lahat,70,ID,1585624611,65,-3.8,103.53,29.68,1.07
Homer,1,US,1585624612,31,59.64,-151.55,1,3.6
Portland,90,US,1585624335,75,45.52,-122.68,8,4.1
Torrington,90,US,1585624612,75,41.8,-73.12,6.67,4.1
San Luis,99,AR,1585624415,64,-33.3,-66.34,20.75,2.22
Sayán,94,PE,1585624613,49,-11.14,-77.19,22.06,0.66
Aklavik,75,CA,1585624417,42,68.22,-135.01,-15,5.1
Avera,1,US,1585624486,59,33.19,-82.53,20,2.6
Tautira,10,PF,1585624613,70,-17.73,-149.15,30,4.1
Macheng,91,CN,1585624613,64,31.18,115.03,12.93,2.03
